The given text as ID	The translation to your language	An brief explanation of what it means
nav_about	معلومات عنا	The link to our about page
nav_server	خادم	 The link to the server page
nav_dynmap	خريطة متحرك	The link to our dynmap site
nav_sysmap	خريطة للقطارات 	Same for system map
nav_joininstructions	كيف ألعب؟	Link to our join instructions
nav_discord	ديسكورد	Link to our discord
nav_cities	مدن	Link to the cities page
nav_railways	سكك / قطارات	As well as the Railways page
		
hero_title1	MTR	"MTR" the title you find on the start of the page
hero_title2	 في أحسن ما يكون	"At its finest" The main title you find
hero_about	معلومات عنا	The button below the titles on the hero
hero_ann_title	اعلان مهم	The announcement that pops up
hero_ann_sub	الخادم متوقف الآن! يمكنه أن يعود في الشهر مارس أو الشهر أبريل.	And the content of the announcement
cookies_text	نحن نستخدم الكوكيز لمراقبة كم مدة و مرات استخدم الموقع، و لتتبع الانقطاعات. هذه الكوكيز أساسية لتشغيل الموقع.	the text of the cookies
ss_title1	///	Screenshots title
ss_title2	الأفضل من صورنا 	Screenshots title
ss_about	زور معرض الصور!	Screenshots title button
cookies_close	أفهم	Cookies banner
cookies_close_decl	أرفض	Cookies banner
about_title	معلومات عنا	About us title
about_text1	GeoRail هو خادم حيوي متميز ببناياته الرائعة والمشهورة التي تمثل موهوبة في مجتمعة MTR. هذه المجتمع يتمنى أن يحسن بناياته بإستمرار، و كل نقطة أساسية لضمان أنهم من بين أعلى الخوادم في مجتمعات MTR. هذا يجعل GeoRail ممتاز للعبة.	
about_text2	مجتمعنا من بين الأكبر خوادم في MTR، يوجد فيه بعض من الأفضل بنائين مثل Szandor13، Vitor2005، و BitOne. هذه الأشخاص بنوا بعض من الأفضل بنايات و أماكن في GeoRail. يوجد في مجتمعنا أكثر من 180 أشخاص، و حزمتنا التعديلات قد تم تحميلها أكثر من 1000 مرات، مما يجعلنا من الأكبر والأعلى جودة خوادم.	
about_text3	الآن، الأماكن مثل "Damaia"، "Jachowice"، و "Pilzen-Bor" هم ممتازة حتى آخر تفصيل، مما يجعلنا من بين أفضل خوادم لإختيارك!	
about_text4	نرحب بكل الأشخاص، و نوفر مجتمعة لطيفة و تفاعلية  حيث يمكن إبداعك أن يركض بحرية! نحن سعداء جدا لنكون من بين أفضل إختياراتك، و نتمنى أن نرحب بك!	
about_text5	نراكم في جيو!	
