The given text as ID	The translation to your language	An brief explanation of what it means
nav_about	Acerca de	The link to our about page
nav_server	Servidor	 The link to the server page
nav_dynmap	Mapa Dinámico	The link to our dynmap site
nav_sysmap	Mapa del Sistema	Same for system map
nav_joininstructions	¿Cómo entrar?	Link to our join instructions
nav_discord	Discord	Link to our discord
nav_cities	Ciudad	Link to the cities page
nav_railways	Compañía Ferroviaria	As well as the Railways page
		
hero_title1	MTR	"MTR" the title you find on the start of the page
hero_title2	En su mejor	"At its finest" The main title you find
hero_about	Acerca de	The button below the titles on the hero
hero_ann_title	Anuncio Importante	The announcement that pops up
hero_ann_sub	El servido esta cerrado! El servidor puede volver de marzo a abril	And the content of the announcement
cookies_text	Utilizamos cookies con fines estadísticos, como la frecuencia y el momento en que se utiliza nuestro sitio, y para realizar un seguimiento de las interrupciones. Estas cookies son necesarias para que el sitio web funcione.	the text of the cookies
ss_title1	Algunas de las mejores	Screenshots title
ss_title2	fotos del servidor	Screenshots title
ss_about	¡Visita nuestra galería!	Screenshots title button
cookies_close	Aceptar	Cookies banner
cookies_close_decl	Rechazar	Cookies banner
about_title	Acerca de	About us title
about_text1	Georail es un servidor vibrante bien conocido por sus construcciones de alta calidad que demuestran la calidad de la comunidad MTR. La comunidad mejora cada compilación con el tiempo ya que se tienen en cuenta todos los detalles cruciales para mantener los altos estándares de los servidores MTR, lo que convierte a GeoRail en la elección perfecta entre los servidores MTR.	
about_text2	Como uno de los servidores MTR más grandes y de mayor calidad, GeoRail es el hogar de muchos constructores talentosos, incluidos Szandor13, Vitor2005 y BitOne. Estas personas construyeron algunas de las áreas más impresionantes y hermosas de GeoRail. Contamos con un número importante de jugadores en la lista de servidores MTR, con más de 180 miembros y más de 1,000 descargas en nuestros paquetes, todo manteniendo la máxima calidad.	
about_text3	Actualmente, el servidor GeoRail sirve a áreas como Damaia, Jachowice y Pilzen-Bor, que son ciudades perfectas hasta el más mínimo detalle, ¡lo que las convierte en una de las mejores opciones para visitar el servidor!	
about_text4	¡GeoRail les da la bienvenida a todos y ofrece una comunidad amigable e interactiva que lo ayuda a explorar su creatividad! ¡Estamos muy contentos de ser una de sus opciones y estamos esperando darle la bienvenida!	
about_text5	¡Nos vemos en Geo!	
stats_over	Over	
stats_members	Miembros	
stats_at_its_finest_since	¡En su máxima expresión!	
stats_builders	Constructores	
imf_images	Imágenes	
imf_headline_1	Algunos de nuestras	
imf_headline_2	mejores capturas de pantalla	
imf_button_visit	¡Visita nuestra galería!	
par_title	Nuestros socios	
par_small_text	*Las empresas reales NO son filiales reales. ¡Pronto habrá más detalles en la página de Empresas GeoRail!	
par_btn	únete a la lista	
ftr_arr	Reservados todos los derechos	
ftr_prp	política de privacidad	
ftr_rul	Normas	
ftr_imp	Imprimir	
ftr_cnt	Ponte en contacto	
ftr_2_hme	Home	
ftr_2_srv	Servidor	
ftr_2_cts	Ciudades	
ftr_2_rws	Ferrocarriles	
ftr_3_src	Source	
ftr_3_bri	propia identidad de marca	
ftr_3_uol	Utilice nuestro logotipo	
