The given text as ID	The translation to your language	An brief explanation of what it means
nav_about	Sobre Nós	The link to our about page
nav_server	Servidor	 The link to the server page
nav_dynmap	Mapa Dinâmico	The link to our dynmap site
nav_sysmap	Mapa do Sistema	Same for system map
nav_joininstructions	Como posso entrar?	Link to our join instructions
nav_discord	Discord	Link to our discord
nav_cities	Cidades	Link to the cities page
nav_railways	Companhias de Ferro	As well as the Railways page
		
hero_title1	MTR	"MTR" the title you find on the start of the page
hero_title2	No seu melhor	"At its finest" The main title you find
hero_about	Sobre	The button below the titles on the hero
hero_ann_title	Anúncio Importante	The announcement that pops up
hero_ann_sub	O servidor encontra-se fechado de momento! Temos expectativas de o trazer devolta entre Março-Abril	And the content of the announcement
cookies_text	este site utiliza cookies para estatísticas, como quanto e quando o nosso site for utilizado, bem como para o rastreio de interrupções. Estes cookies são necessários para o funcionamento do site.	the text of the cookies
ss_title1	Algumas das melhores	Screenshots title
ss_title2	fotos do servidor	Screenshots title
ss_about	Visita a nossa Galeria!	Screenshots title button
cookies_close	Aceitar	Cookies banner
cookies_close_decl	Recusar	Cookies banner
about_title	Sobre	About us title
about_text1	Georail é um servidor vibrante muito reconhecido pelas suas construções de alta qualidade que demonstram a qualidade da comunidade com o MTR. A comunidade melhora cada construção ao longo do tempo em que cada detalhe crucial é levado em consideração para mantermos os altos padrões de servidores do MTR, fazendo assim com que o GeoRail seja a escolha perfeita no meio dos servidores do MTR.	
about_text2	Como um dos maiores servidores MTR e da mais alta qualidade, o GeoRail é o lar de muitos construtores talentosos, incluindo Szandor13, Vitor2005 e BitOne. Estas pessoas construíram algumas das áreas mais impressionantes e bonitas do GeoRail. Temos um número importante de players na lista de servidores MTR, contando com mais de 180 membros e mais de 1.000 downloads em nossos pacotes, tudo isso mantendo a qualidade superior.	
about_text3	Atualmente, o servidor GeoRail serve areas como Damaia, Jachowice e Pilzen - Bor que são cidades perfeitas até ao minimo detalhe, sendo assim umas das melhores escolhas de visita do servidor!	
about_text4	O GeoRail dá as boas vindas a todos e oferece uma comunidade amigável e interativa que ajuda a explorar a tua criativade! Estamos muito contentes por ser uma das tuas escolhas e estamos esperando para receber-te!	
about_text5	Vemo-nos no Geo!	
stats_over	Over	
stats_members	Membros	
stats_at_its_finest_since	No seu melhor!	
stats_builders	Construtores	
imf_images	Imagens	
imf_headline_1	Algumas das nossas	
imf_headline_2	melhores screenshots	
imf_button_visit	Visita a nossa Galeria!	
par_title	Os nossos parceiros	
par_small_text	*Empresas reais NÃO são afiliadas de verdade. Mais detalhes na página Empresas da GeoRail em breve!	
par_btn	junta-te à lista	
ftr_arr	Todos os direitos reservados	
ftr_prp	Politica de Privacidade	
ftr_rul	Regras	
ftr_imp	Imprimir	
ftr_cnt	Entre em Contacto	
ftr_2_hme	Home	
ftr_2_srv	Servidor	
ftr_2_cts	Cidades	
ftr_2_rws	Caminhos de Ferro	
ftr_3_src	Source	
ftr_3_bri	identidade de marca própria	
ftr_3_uol	Usa o nosso logotipo	
